"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggalluvial","ggalluvial","/usr/local/lib/R/site-library","0.12.3",NA,"R (>= 3.5), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ggalt","ggalt","/usr/local/lib/R/site-library","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggbeeswarm","ggbeeswarm","/usr/local/lib/R/site-library","0.6.0",NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,"gridExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ggfittext","ggfittext","/usr/local/lib/R/site-library","0.9.1",NA,"R (>= 3.6)","grid (>= 3.1), stringi (>= 1.1.2), ggplot2 (>= 2.2.1), shades
(>= 1.3.1)",NA,"knitr, rmarkdown, testthat, vdiffr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggforce","ggforce","/usr/local/lib/R/site-library","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggfun","ggfun","/usr/local/lib/R/site-library","0.0.4",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"gghalves","gghalves","/usr/local/lib/R/site-library","0.1.1",NA,"ggplot2 (>= 3.0.0), R (>= 3.4.0)","grid, gtable, grDevices",NA,"knitr, rmarkdown, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggnewscale","ggnewscale","/usr/local/lib/R/site-library","0.4.5",NA,NA,"ggplot2 (>= 3.0.0)",NA,"testthat, vdiffr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ggplot2","ggplot2","/usr/local/lib/R/site-library","3.3.5",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggplotify","ggplotify","/usr/local/lib/R/site-library","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"ggprism","ggprism","/usr/local/lib/R/site-library","1.0.3.9000",NA,"R (>= 3.2)","digest, ggplot2 (>= 3.2.0), glue, grid, gtable (>= 0.1.1),
rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble, utils",NA,"covr, dplyr, ggbeeswarm, ggnewscale, knitr, magrittr,
patchwork, rmarkdown, rstatix, tidyr, tinytest",NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.1.1"
"ggpubr","ggpubr","/usr/local/lib/R/site-library","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggraph","ggraph","/usr/local/lib/R/site-library","2.0.5",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggrastr","ggrastr","/usr/local/lib/R/site-library","0.2.3",NA,"R (>= 3.2.2)","ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"ggrepel","ggrepel","/usr/local/lib/R/site-library","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggridges","ggridges","/usr/local/lib/R/site-library","0.5.3",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsci","ggsci","/usr/local/lib/R/site-library","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsignif","ggsignif","/usr/local/lib/R/site-library","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggThemeAssist","ggThemeAssist","/usr/local/lib/R/site-library","0.1.5",NA,"R (>= 3.0.0)","shiny (>= 0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5),
ggplot2, formatR",NA,"extrafont",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ggthemes","ggthemes","/usr/local/lib/R/site-library","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggtree","ggtree","/usr/local/lib/R/site-library","3.2.1",NA,"R (>= 3.5.0)","ape, aplot (>= 0.0.4), dplyr, ggplot2 (>= 3.0.0), grid,
magrittr, methods, purrr, rlang, ggfun, yulab.utils, tidyr,
tidytree (>= 0.2.6), treeio (>= 1.8.0), utils, scales",NA,"emojifont, ggimage, ggplotify, grDevices, knitr, prettydoc,
rmarkdown, stats, testthat, tibble",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"gh","gh","/usr/local/lib/R/site-library","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gitcreds","gitcreds","/usr/local/lib/R/site-library","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"glmpca","glmpca","/usr/local/lib/R/site-library","0.2.0",NA,"R (>= 3.5),","MASS, methods, stats, utils",NA,"covr, ggplot2, knitr, logisticPCA, markdown, Matrix,
testthat,",NA,"LGPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"GlobalOptions","GlobalOptions","/usr/local/lib/R/site-library","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"globals","globals","/usr/local/lib/R/site-library","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"glue","glue","/usr/local/lib/R/site-library","1.4.2",NA,"R (>= 3.2)","methods",NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"gmodels","gmodels","/usr/local/lib/R/site-library","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"GO.db","GO.db","/usr/local/lib/R/site-library","3.14.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.55.1)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"goftest","goftest","/usr/local/lib/R/site-library","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"googledrive","googledrive","/usr/local/lib/R/site-library","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"googlesheets4","googlesheets4","/usr/local/lib/R/site-library","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"GOSemSim","GOSemSim","/usr/local/lib/R/site-library","2.20.0",NA,"R (>= 3.5.0)","AnnotationDbi, GO.db, methods, utils","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
rmarkdown, org.Hs.eg.db, prettydoc, testthat, ROCR",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"gower","gower","/usr/local/lib/R/site-library","0.2.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"gplots","gplots","/usr/local/lib/R/site-library","3.1.1",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth",NA,"grid, MASS, knitr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"graph","graph","/usr/local/lib/R/site-library","1.72.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"graphite","graphite","/usr/local/lib/R/site-library","1.40.0",NA,"R (>= 4.1), methods","AnnotationDbi, checkmate, graph (>= 1.67.1), httr, rappdirs,
stats, utils, graphics",NA,"a4Preproc, ALL, BiocStyle, clipper, codetools,
hgu133plus2.db, hgu95av2.db, impute, knitr, org.Hs.eg.db,
parallel, R.rsp, RCy3, rmarkdown, SPIA (>= 2.2), testthat,
topologyGSA (>= 1.4.0)",NA,"AGPL-3",NA,NA,NA,NA,"no","4.1.1"
"graphlayouts","graphlayouts","/usr/local/lib/R/site-library","0.7.1",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"gridExtra","gridExtra","/usr/local/lib/R/site-library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gridGraphics","gridGraphics","/usr/local/lib/R/site-library","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"grr","grr","/usr/local/lib/R/site-library","0.9.5",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"GSEABase","GSEABase","/usr/local/lib/R/site-library","1.56.0",NA,"R (>= 2.6.0), BiocGenerics (>= 0.13.8), Biobase (>= 2.17.8),
annotate (>= 1.45.3), methods, graph (>= 1.37.2)","AnnotationDbi, XML",NA,"hgu95av2.db, GO.db, org.Hs.eg.db, Rgraphviz, ReportingTools,
testthat, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"gsl","gsl","/usr/local/lib/R/site-library","2.1-7",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"GSVA","GSVA","/usr/local/lib/R/site-library","1.42.0",NA,"R (>= 3.5.0)","methods, stats, utils, graphics, S4Vectors, IRanges, Biobase,
SummarizedExperiment, GSEABase, Matrix, parallel, BiocParallel,
SingleCellExperiment, sparseMatrixStats, DelayedArray,
DelayedMatrixStats, HDF5Array, BiocSingular",NA,"BiocGenerics, RUnit, BiocStyle, knitr, rmarkdown, limma,
RColorBrewer, org.Hs.eg.db, genefilter, edgeR, GSVAdata, shiny,
shinydashboard, ggplot2, data.table, plotly, future, promises,
shinybusy, shinyjs",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"gtable","gtable","/usr/local/lib/R/site-library","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gtools","gtools","/usr/local/lib/R/site-library","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"harmony","harmony","/usr/local/lib/R/site-library","0.1.0",NA,"R(>= 3.5.0), Rcpp","dplyr, cowplot, tidyr, ggplot2, irlba, Matrix, methods,
tibble, rlang","Rcpp, RcppArmadillo, RcppProgress","Seurat, testthat, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"haven","haven","/usr/local/lib/R/site-library","2.4.3",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","cpp11","cli, covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"HDF5Array","HDF5Array","/usr/local/lib/R/site-library","1.22.1",NA,"R (>= 3.4), methods, DelayedArray (>= 0.15.16), rhdf5 (>=
2.31.6)","utils, stats, tools, Matrix, rhdf5filters, BiocGenerics (>=
0.31.5), S4Vectors, IRanges","S4Vectors (>= 0.27.13), Rhdf5lib","BiocParallel, GenomicRanges, SummarizedExperiment (>=
1.15.1), h5vcData, ExperimentHub, TENxBrainData, zellkonverter,
GenomicFeatures, RUnit, SingleCellExperiment",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"hdf5r","hdf5r","/usr/local/lib/R/site-library","1.3.4",NA,"R (>= 3.2.2), methods","R6, bit64, utils",NA,"testthat, knitr, rmarkdown, nycflights13, reshape2, formatR,",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"here","here","/usr/local/lib/R/site-library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"hexbin","hexbin","/usr/local/lib/R/site-library","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"highr","highr","/usr/local/lib/R/site-library","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"Hmisc","Hmisc","/usr/local/lib/R/site-library","4.6-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"hms","hms","/usr/local/lib/R/site-library","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"htmlTable","htmlTable","/usr/local/lib/R/site-library","2.3.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"htmltools","htmltools","/usr/local/lib/R/site-library","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"htmlwidgets","htmlwidgets","/usr/local/lib/R/site-library","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"httpuv","httpuv","/usr/local/lib/R/site-library","1.6.3",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"httr","httr","/usr/local/lib/R/site-library","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ica","ica","/usr/local/lib/R/site-library","1.0-2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"ids","ids","/usr/local/lib/R/site-library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"igraph","igraph","/usr/local/lib/R/site-library","1.2.7",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"ini","ini","/usr/local/lib/R/site-library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"inlmisc","inlmisc","/usr/local/lib/R/site-library","0.5.2",NA,"R (>= 3.5.0)","checkmate, data.table, GA, graphics, grDevices, htmltools,
htmlwidgets, igraph, knitr, leaflet, methods, parallel, raster,
rgdal, rgeos, rmarkdown, scales, sp, stats, tinytex, tools,
webshot, wordcloud2, xtable, yaml",NA,"alphahull, dichromat, doParallel, doRNG, grid, gstat,
maptools, png, remotes, roxygen2, testthat",NA,"CC0",NA,NA,NA,NA,"yes","4.1.0"
"interactiveDisplayBase","interactiveDisplayBase","/usr/local/lib/R/site-library","1.32.0",NA,"R (>= 2.10), methods, BiocGenerics","shiny, DT",NA,"knitr, markdown","rstudioapi","Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"ipred","ipred","/usr/local/lib/R/site-library","0.9-12",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"IRanges","IRanges","/usr/local/lib/R/site-library","2.28.0",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.29.19)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"irlba","irlba","/usr/local/lib/R/site-library","2.3.3",NA,"Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"isoband","isoband","/usr/local/lib/R/site-library","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"iterators","iterators","/usr/local/lib/R/site-library","1.0.13",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.0"
"janitor","janitor","/usr/local/lib/R/site-library","2.1.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"knitr, rmarkdown, sf, testthat, tibble, tidygraph",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jpeg","jpeg","/usr/local/lib/R/site-library","0.1-9",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"jquerylib","jquerylib","/usr/local/lib/R/site-library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jsonlite","jsonlite","/usr/local/lib/R/site-library","1.7.2",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"KEGGREST","KEGGREST","/usr/local/lib/R/site-library","1.34.0",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"kernlab","kernlab","/usr/local/lib/R/site-library","0.9-29",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"knitr","knitr","/usr/local/lib/R/site-library","1.36",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.21), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"ks","ks","/usr/local/lib/R/site-library","1.13.2",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0), plot3D, pracma",NA,"MASS, misc3d (>= 0.4-0), oz, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"labeling","labeling","/usr/local/lib/R/site-library","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.1.0"
"Lahman","Lahman","/usr/local/lib/R/site-library","9.0-0",NA,"R (>= 2.10)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, knitr, rmarkdown, car",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"lambda.r","lambda.r","/usr/local/lib/R/site-library","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"later","later","/usr/local/lib/R/site-library","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"latticeExtra","latticeExtra","/usr/local/lib/R/site-library","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"lava","lava","/usr/local/lib/R/site-library","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"lazyeval","lazyeval","/usr/local/lib/R/site-library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
